year,label,polarization,junepyapp,novpyapp,chrdi,q2rdi,q2gdp,pygdp,eygdp,fhgdp,hrseatchange,midtermloss,netbump,wlezian60,1-Sep,septapp,fiscal,electvote,vote,demvote,margin,landslide,swing,marchapp,wonlost,term,inc,party,electapp,juneapp,f3qgdp,abserror,lei,q1gdp,barometer,score6,junetrial,finaltrial,nhinc,nhopp,absmargin,period,junetrialerr,septtrialerr,finaltrialerr,absjune,abssept,absfinal,tfcpred,jtrialpred,strialpred,ftrialpred,absprederr,q2gdpinc,juneappinc,midtermloss2,interpresapp,interq2gdp,adjq2gdp,adjapp,polenviro,interenvpolar,pred1,pred2
1948,48,0,24,21,5.4,5,7.6,-0.9,4.4,7.1,75,-56,-0.17816092,45,45.61,-7,-1,57.1,52.3,52.3,4.5,0,3.5,-12,1,1,1,1,NA,-8,5.4,1.501689647,NA,6.5,3.5,1,43.68,47.34042,NA,NA,4.5,1,-8.62,-6.69,-4.95958,8.62,6.69,4.95958,50.79831035,49.60554427,49.04953134,47.92220028,1.501689647,7.3,-7,1,0,0,0.863636364,-0.576923077,3.2328,0,50.56209453,50.9433891
1952,52,0,-34,-38,3.2,0.3,0.4,7.7,3.8,2.25,-22,-28,11.75555556,42,42.11,-30,1,16.8,44.6,44.6,10.9,1,15.4,-32,2,1,0,1,-23,-26,2.4,0.099224819,0.083,4.2,-49.5,-3,34.44,49,44.6,56.3,10.9,1,-10.16,-2.49,4.4,10.16,2.49,4.4,44.50077518,46.5159884,47.12494517,49.29846219,0.099224819,0,0,1,0,0,-0.772727273,-1.269230769,-2.5668,0,44.74871122,44.53557975
1956,56,0,52,55,4.9,3.3,3.2,7.2,2,0.65,-2,-18,-6.344897959,54.1,55.91,49,-1,86.1,57.8,42.2,15.4,1,4.5,55,1,0,1,0,48,50,0.3,1.541638644,0.222,-1.9,66,3,63.92,59.5,98.9,0,15.4,1,6.12,-1.89,1.7,6.12,1.89,1.7,59.34163864,56.37314286,54.71331349,58.00593642,1.541638644,3.2,55,2,0,0,-0.136363636,1.653846154,7.0716,0,58.79820406,59.679313
1960,60,0,39,44,2.6,0.4,-1.9,7.2,2.5,3.7,20,-47,5.888172043,49.5,50.54,33,1,43.6,49.9,50.1,0.2,0,15.6,43,2,1,0,0,27,30,2.6,0.6872904,0.06,9.2,-5,-1,47.92,49,95.9,85.2,0.2,1,-1.98,0.64,-0.9,1.98,0.64,0.9,49.2127096,51.02326255,51.76044843,49.29846219,0.6872904,0,0,1,0,0,-1.295454545,0.884615385,2.1878,0,49.51461098,49.788799
1964,64,0,35,28,7.2,6.2,4.7,4.4,5.8,7,36,-2,-1.354545455,71.8,69.15,59,-1,90.3,61.3,61.3,22.6,1,22.4,64,1,0,1,1,51,59,6.5,0.616671407,0.348,9.3,82.5,3,79.17,64,98.3,38.6,22.6,1,17.87,7.85,2.7,17.87,7.85,2.7,60.68332859,61.47224752,61.99374802,61.73771109,0.616671407,4.7,59,2,0,0,0.204545455,2,8.8416,0,60.57241064,61.63493452
1968,68,0,16,-4,4.5,4.1,7,2.5,4.8,7.75,-5,-47,-6.817948718,43.8,41.89,-9,1,44.1,49.6,49.6,0.7,0,23.3,12,2,1,0,1,-9,-7,6.1,0.908183117,0.214,8.5,3,1,53.16,49.41176,54.2,87.8,0.7,2,3.56,-7.71,-0.18824,3.56,7.71,0.18824,50.50818312,52.77534835,47.00397119,49.63992786,0.908183117,0,0,1,0,0,0.727272727,-0.538461538,3.017,0,50.34578166,50.70495796
1972,72,0,9,12,4.8,2,9.8,3.4,5.3,8.55,12,-12,9.211111111,66.9,62.89,23,-1,96.7,61.8,38.2,23.2,1,22.5,17,1,0,1,0,34,23,7,1.849712293,0.263,7.3,72,3,58.9,62,77.3,44.4,23.2,2,-2.9,1.09,0.2,2.9,1.09,0.2,59.95028771,54.69461791,58.55148819,60.07914457,1.849712293,9.8,24,2,0,0,1.363636364,0.615384615,7.7334,0,59.46157689,60.41051657
1976,76,0,18,-5,4,0.9,3,-0.2,5.4,6.15,-1,-48,0.950561798,41.1,40,5,1,44.8,48.9,51.1,2.1,0,25.3,14,2,1,1,0,5,5,4.4,0.608737331,0.104,9.3,-5,-1,40.22,50.51546,50.7,55.6,2.1,2,-8.68,-8.9,1.61546,8.68,8.9,1.61546,49.50873733,48.44863266,45.96469466,50.5552078,0.608737331,3,5,1,0,0,-0.181818182,-0.076923077,2.149,0,49.47571877,49.74593001
1980,80,0,-31,-23,1,-0.9,-7.9,3.1,-0.3,-3.25,-34,-15,2.712676056,49.9,48.72,-18,-1,9.1,44.7,44.7,9.7,0,11.8,-12,2,0,1,1,-25,-27,-2.4,0.935255691,-0.24,1.3,-66,-3,55.06,48.35164,55.9,68.6,9.7,2,10.36,4.02,3.65164,10.36,4.02,3.65164,43.76474431,53.41064664,50.75966362,48.76078809,0.935255691,-7.8,-27,2,0,0,-2.659090909,-1.307692308,-7.1392,0,44.55363073,43.97821342
1984,84,0,3,16,7.2,6.7,7.1,4.5,7.2,7.6,16,-26,0.291304348,58.8,60.22,21,1,97.6,59.2,40.8,18.2,1,8.5,15,1,0,1,0,25,19,6.4,1.751911184,0.38,8.1,54.5,3,54.64,59,97.7,42.8,18.2,2,-4.56,1.02,-0.2,4.56,1.02,0.2,57.44808882,53.27021228,57.08330388,57.59129479,1.751911184,7.1,16,1,0,0,0.75,0.461538462,5.8528,0,57.57650747,58.33269633
