year,congress,state,state num,party,name,wnominate
1963,88,ALABAMA,41,100,Selden,0.1844
1963,88,ALABAMA,41,100,Grant,0.248
1963,88,ALABAMA,41,100,Andrews,0.305
1963,88,ALABAMA,41,100,Huddleston,0.2296
1963,88,ALABAMA,41,100,Roberts,0.034
1963,88,ALABAMA,41,100,Jones  R.,-0.1303
1963,88,ALABAMA,41,100,Elliott,-0.2307
1963,88,ALABAMA,41,100,Rains,-0.2333
1963,88,ALASKA,81,100,Rivers  R.,-0.4439
1963,88,ARIZONA,61,200,Rhodes  J.,0.4623
1963,88,ARIZONA,61,100,Udall  M.,-0.4319
1963,88,ARIZONA,61,100,Senner,-0.1371
1963,88,ARKANSA,42,100,Gathings,0.2858
1963,88,ARKANSA,42,100,Mills,-0.039
1963,88,ARKANSA,42,100,Trimble,-0.287
1963,88,ARKANSA,42,100,Harris,0.009
1963,88,CALIFOR,71,200,Clausen,0.4837
1963,88,CALIFOR,71,100,Johnson  H.,-0.2364
1963,88,CALIFOR,71,100,Moss,-0.5648
1963,88,CALIFOR,71,100,Leggett,-0.5185
1963,88,CALIFOR,71,100,Shelley,-0.3952
1963,88,CALIFOR,71,100,Burton  P.,-0.8467
1963,88,CALIFOR,71,200,Mailliard,0.2403
1963,88,CALIFOR,71,100,Cohelan,-0.5099
1963,88,CALIFOR,71,100,Miller  G.,-0.5099
1963,88,CALIFOR,71,100,Edwards,-0.8176
1963,88,CALIFOR,71,200,Gubser,0.3844
1963,88,CALIFOR,71,200,Younger,0.4948
1963,88,CALIFOR,71,200,Talcott,0.4429
1963,88,CALIFOR,71,200,Teague  C.,0.4231
1963,88,CALIFOR,71,200,Baldwin,0.2615
1963,88,CALIFOR,71,100,Mcfall,-0.5101
1963,88,CALIFOR,71,100,Sisk,-0.499
1963,88,CALIFOR,71,100,King  Cecil,-0.5651
1963,88,CALIFOR,71,100,Hagen,-0.2534
1963,88,CALIFOR,71,100,Holifield,-0.5206
1963,88,CALIFOR,71,200,Smith  H.A.,0.667
1963,88,CALIFOR,71,100,Hawkins,-0.6921
1963,88,CALIFOR,71,100,Corman,-0.6981
1963,88,CALIFOR,71,200,Clawson,0.5781
1963,88,CALIFOR,71,200,Lipscomb,0.5728
1963,88,CALIFOR,71,100,Cameron,-0.3224
1963,88,CALIFOR,71,100,Roosevelt,-0.6051
1963,88,CALIFOR,71,100,Burkhalter,-0.3602
1963,88,CALIFOR,71,200,Bell,0.3447
1963,88,CALIFOR,71,100,Brown  G.,-0.7334
1963,88,CALIFOR,71,100,Roybal,-0.6579
1963,88,CALIFOR,71,100,Wilson  C.,-0.3619
1963,88,CALIFOR,71,200,Hosmer,0.3843
1963,88,CALIFOR,71,100,Sheppard,-0.2551
1963,88,CALIFOR,71,100,Hanna,-0.3409
1963,88,CALIFOR,71,200,Utt,0.7097
1963,88,CALIFOR,71,200,Wilson  R.,0.4286
1963,88,CALIFOR,71,100,Van Deerlin,-0.3967
1963,88,CALIFOR,71,200,Martin  P.,0.4995
1963,88,COLORAD,62,100,Rogers  B.,-0.3028
1963,88,COLORAD,62,200,Brotzman,0.3922
1963,88,COLORAD,62,200,Chenoweth,0.3932
1963,88,COLORAD,62,100,Aspinall,-0.2203
1963,88,CONNECT,1,100,Daddario,-0.4137
1963,88,CONNECT,1,100,St.Onge,-0.4335
1963,88,CONNECT,1,100,Giaimo,-0.3482
1963,88,CONNECT,1,200,Sibal,0.2211
1963,88,CONNECT,1,100,Monagan,-0.2856
1963,88,CONNECT,1,100,Grabowski,-0.4169
1963,88,DELAWAR,11,100,Mcdowell,-0.5378
1963,88,FLORIDA,43,100,Sikes,0.1324
1963,88,FLORIDA,43,100,Bennett  C.,0.1593
1963,88,FLORIDA,43,100,Pepper,-0.4184
1963,88,FLORIDA,43,100,Fascell,-0.2348
1963,88,FLORIDA,43,100,Herlong,0.2092
1963,88,FLORIDA,43,100,Rogers  P.,0.2018
1963,88,FLORIDA,43,100,Haley,0.4333
1963,88,FLORIDA,43,100,Matthews,0.0199
1963,88,FLORIDA,43,100,Fuqua,0.1327
1963,88,FLORIDA,43,100,Gibbons,0.0093
1963,88,FLORIDA,43,200,Gurney,0.5412
1963,88,FLORIDA,43,200,Cramer,0.478
1963,88,GEORGIA,44,100,Hagan,0.0858
1963,88,GEORGIA,44,100,Pilcher,0.0226
1963,88,GEORGIA,44,100,Forrester,0.1448
1963,88,GEORGIA,44,100,Flynt,0.0504
1963,88,GEORGIA,44,100,Weltner,0.0017
1963,88,GEORGIA,44,100,Vinson,-0.2018
1963,88,GEORGIA,44,100,Davis  J.,-0.1005
1963,88,GEORGIA,44,100,Tuten,-0.0009
1963,88,GEORGIA,44,100,Landrum,-0.0408
1963,88,GEORGIA,44,100,Stephens,-0.0063
1963,88,HAWAII,82,100,Gill,-0.7705
1963,88,HAWAII,82,100,Matsunaga,-0.5375
1963,88,IDAHO,63,100,White  C.,-0.2495
1963,88,IDAHO,63,100,Harding,-0.2697
1963,88,ILLINOI,21,100,Dawson,-0.405
1963,88,ILLINOI,21,100,Ohara  B.,-0.5415
1963,88,ILLINOI,21,100,Murphy  W.,-0.4026
1963,88,ILLINOI,21,200,Derwinski,0.6454
1963,88,ILLINOI,21,100,Kluczynski,-0.4483
1963,88,ILLINOI,21,100,Obrien  T.,-0.5483
1963,88,ILLINOI,21,100,Libonati,-0.4649
1963,88,ILLINOI,21,100,Rostenkowsk,-0.4281
1963,88,ILLINOI,21,100,Finnegan,-0.4149
1963,88,ILLINOI,21,200,Collier,0.5855
